model_key,target_cycle,run_mode,status,baseline_cycle,available_signal_count,missing_signal_count,excluded_signal_count
vulnerability,2017,dry-run,dry_run_ready,2015,7,0,0
vulnerability,2019,dry-run,dry_run_ready,2017,7,0,0
vulnerability,2024,dry-run,dry_run_ready,2019,7,0,0
reform_threat,2017,dry-run,dry_run_ready,2015,3,2,2
reform_threat,2019,dry-run,dry_run_ready,2017,3,2,2
reform_threat,2024,dry-run,dry_run_ready,2019,5,2,0
by_election_risk,2017,dry-run,dry_run_ready,2015,5,3,0
by_election_risk,2019,dry-run,dry_run_ready,2017,5,3,0
by_election_risk,2024,dry-run,dry_run_ready,2019,5,3,0
reform_threat,2017,live,data_required,2015,3,2,2
reform_threat,2019,live,data_required,2017,3,2,2
reform_threat,2024,live,data_required,2019,5,2,0
by_election_risk,2017,live,data_required,2015,5,3,0
by_election_risk,2019,live,data_required,2017,5,3,0
by_election_risk,2024,live,data_required,2019,5,3,0
reform_threat,2017,live,data_required,2015,3,2,2
reform_threat,2019,live,data_required,2017,3,2,2
reform_threat,2024,live,data_required,2019,5,2,0
by_election_risk,2017,live,data_required,2015,5,3,0
by_election_risk,2019,live,data_required,2017,5,3,0
by_election_risk,2024,live,data_required,2019,5,3,0
reform_threat,2017,live,data_required,2015,3,2,2
reform_threat,2019,live,data_required,2017,3,2,2
reform_threat,2024,live,data_required,2019,5,2,0
by_election_risk,2017,live,data_required,2015,5,3,0
by_election_risk,2019,live,data_required,2017,5,3,0
by_election_risk,2024,live,data_required,2019,5,3,0
