local_authority_name,councillor_name,ward,party,meeting_type,meetings_eligible,meetings_attended,period_start,period_end,source_url,import_notes
Warwickshire County Council,Robert Aitkenhead,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Steve Albon,,,combined,13,12,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Michael Bannister,,,combined,19,19,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Jo Barker,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Sarah Boad,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Dale Bridgewater,,,combined,18,15,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Wayne Briggs,,,combined,22,20,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Cliff Brown,,,combined,12,12,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Scott Cameron,,,combined,6,4,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Stan Carvell,,,combined,16,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Darren Cheshire,,,combined,16,16,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Jonathan Chilvers,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Luke Cooper,,,combined,14,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,George Cowcher,,,combined,9,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,James Crocker,,,combined,11,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Andy Crump,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,David Curtis,,,combined,10,7,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
